admin4,admin5,Admin6or7,Admin7or8,AreaCode
北海道,石狩振興局,札幌市,南区,1106
北海道,渡島総合振興局,,函館市,1202
北海道,後志総合振興局,,小樽市,1203
北海道,上川総合振興局,,旭川市,1204
北海道,胆振総合振興局,,室蘭市,1205
北海道,釧路総合振興局,,釧路市,1206
北海道,十勝総合振興局,,帯広市,1207
北海道,オホーツク総合振興局,,北見市,1208
北海道,空知総合振興局,,夕張市,1209
北海道,空知総合振興局,,岩見沢市,1210
北海道,オホーツク総合振興局,,網走市,1211
北海道,留萌振興局,,留萌市,1212
北海道,胆振総合振興局,,苫小牧市,1213
北海道,宗谷総合振興局,,稚内市,1214
北海道,空知総合振興局,,美唄市,1215
北海道,空知総合振興局,,芦別市,1216
北海道,オホーツク総合振興局,,紋別市,1219
北海道,上川総合振興局,,士別市,1220
北海道,上川総合振興局,,名寄市,1221
北海道,空知総合振興局,,三笠市,1222
北海道,根室振興局,,根室市,1223
北海道,石狩振興局,,千歳市,1224
北海道,空知総合振興局,,深川市,1228
北海道,上川総合振興局,,富良野市,1229
北海道,胆振総合振興局,,登別市,1230
北海道,石狩振興局,,恵庭市,1231
北海道,胆振総合振興局,,伊達市,1233
北海道,石狩振興局,,石狩市,1235
北海道,渡島総合振興局,,北斗市,1236
北海道,石狩振興局,石狩郡,当別町,1303
北海道,渡島総合振興局,松前郡,松前町,1331
北海道,渡島総合振興局,松前郡,福島町,1332
北海道,渡島総合振興局,上磯郡,知内町,1333
北海道,渡島総合振興局,上磯郡,木古内町,1334
北海道,渡島総合振興局,亀田郡,七飯町,1337
北海道,渡島総合振興局,茅部郡,鹿部町,1343
北海道,渡島総合振興局,茅部郡,森町,1345
北海道,渡島総合振興局,二海郡,八雲町,1346
北海道,渡島総合振興局,山越郡,長万部町,1347
北海道,檜山振興局,檜山郡,江差町,1361
北海道,檜山振興局,檜山郡,上ノ国町,1362
北海道,檜山振興局,檜山郡,厚沢部町,1363
北海道,檜山振興局,爾志郡,乙部町,1364
北海道,檜山振興局,奥尻郡,奥尻町,1367
北海道,檜山振興局,瀬棚郡,今金町,1370
北海道,檜山振興局,久遠郡,せたな町,1371
北海道,後志総合振興局,島牧郡,島牧村,1391
北海道,後志総合振興局,寿都郡,寿都町,1392
北海道,後志総合振興局,寿都郡,黒松内町,1393
北海道,後志総合振興局,磯谷郡,蘭越町,1394
北海道,後志総合振興局,虻田郡,ニセコ町,1395
北海道,後志総合振興局,虻田郡,真狩村,1396
北海道,後志総合振興局,虻田郡,留寿都村,1397
北海道,後志総合振興局,虻田郡,喜茂別町,1398
北海道,後志総合振興局,虻田郡,京極町,1399
北海道,後志総合振興局,虻田郡,倶知安町,1400
北海道,後志総合振興局,岩内郡,共和町,1401
北海道,後志総合振興局,岩内郡,岩内町,1402
北海道,後志総合振興局,古宇郡,泊村,1403
北海道,後志総合振興局,古宇郡,神恵内村,1404
北海道,後志総合振興局,積丹郡,積丹町,1405
北海道,後志総合振興局,古平郡,古平町,1406
北海道,後志総合振興局,余市郡,仁木町,1407
北海道,後志総合振興局,余市郡,余市町,1408
北海道,後志総合振興局,余市郡,赤井川村,1409
北海道,空知総合振興局,樺戸郡,月形町,1430
北海道,空知総合振興局,樺戸郡,浦臼町,1431
北海道,空知総合振興局,樺戸郡,新十津川町,1432
北海道,空知総合振興局,雨竜郡,妹背牛町,1433
北海道,空知総合振興局,雨竜郡,秩父別町,1434
北海道,空知総合振興局,雨竜郡,雨竜町,1436
北海道,空知総合振興局,雨竜郡,北竜町,1437
北海道,空知総合振興局,雨竜郡,沼田町,1438
北海道,上川総合振興局,上川郡,鷹栖町,1452
北海道,上川総合振興局,上川郡,東神楽町,1453
北海道,上川総合振興局,上川郡,当麻町,1454
北海道,上川総合振興局,上川郡,比布町,1455
北海道,上川総合振興局,上川郡,愛別町,1456
北海道,上川総合振興局,上川郡,上川町,1457
北海道,上川総合振興局,上川郡,東川町,1458
北海道,上川総合振興局,上川郡,美瑛町,1459
北海道,上川総合振興局,空知郡,上富良野町,1460
北海道,上川総合振興局,空知郡,中富良野町,1461
北海道,上川総合振興局,空知郡,南富良野町,1462
北海道,上川総合振興局,勇払郡,占冠村,1463
北海道,上川総合振興局,上川郡,和寒町,1464
北海道,上川総合振興局,上川郡,剣淵町,1465
北海道,上川総合振興局,上川郡,下川町,1468
北海道,上川総合振興局,中川郡,美深町,1469
北海道,上川総合振興局,中川郡,音威子府村,1470
北海道,上川総合振興局,中川郡,中川町,1471
北海道,上川総合振興局,雨竜郡,幌加内町,1472
北海道,留萌振興局,増毛郡,増毛町,1481
北海道,留萌振興局,留萌郡,小平町,1482
北海道,留萌振興局,苫前郡,苫前町,1483
北海道,留萌振興局,苫前郡,羽幌町,1484
北海道,留萌振興局,苫前郡,初山別村,1485
北海道,留萌振興局,天塩郡,遠別町,1486
北海道,留萌振興局,天塩郡,天塩町,1487
北海道,宗谷総合振興局,宗谷郡,猿払村,1511
北海道,宗谷総合振興局,枝幸郡,浜頓別町,1512
北海道,宗谷総合振興局,枝幸郡,中頓別町,1513
北海道,宗谷総合振興局,枝幸郡,枝幸町,1514
北海道,宗谷総合振興局,天塩郡,豊富町,1516
北海道,宗谷総合振興局,礼文郡,礼文町,1517
北海道,宗谷総合振興局,利尻郡,利尻町,1518
北海道,宗谷総合振興局,利尻郡,利尻富士町,1519
北海道,宗谷総合振興局,天塩郡,幌延町,1520
北海道,オホーツク総合振興局,網走郡,美幌町,1543
北海道,オホーツク総合振興局,網走郡,津別町,1544
北海道,オホーツク総合振興局,斜里郡,斜里町,1545
北海道,オホーツク総合振興局,斜里郡,清里町,1546
北海道,オホーツク総合振興局,斜里郡,小清水町,1547
北海道,オホーツク総合振興局,常呂郡,訓子府町,1549
北海道,オホーツク総合振興局,常呂郡,置戸町,1550
北海道,オホーツク総合振興局,常呂郡,佐呂間町,1552
北海道,オホーツク総合振興局,紋別郡,遠軽町,1555
北海道,オホーツク総合振興局,紋別郡,湧別町,1559
北海道,オホーツク総合振興局,紋別郡,滝上町,1560
北海道,オホーツク総合振興局,紋別郡,興部町,1561
北海道,オホーツク総合振興局,紋別郡,西興部村,1562
北海道,オホーツク総合振興局,紋別郡,雄武町,1563
北海道,オホーツク総合振興局,網走郡,大空町,1564
北海道,胆振総合振興局,虻田郡,豊浦町,1571
北海道,胆振総合振興局,有珠郡,壮瞥町,1575
北海道,胆振総合振興局,白老郡,白老町,1578
北海道,胆振総合振興局,勇払郡,厚真町,1581
北海道,胆振総合振興局,虻田郡,洞爺湖町,1584
北海道,胆振総合振興局,勇払郡,むかわ町,1586
北海道,日高振興局,沙流郡,日高町,1601
北海道,日高振興局,沙流郡,平取町,1602
北海道,日高振興局,新冠郡,新冠町,1604
北海道,日高振興局,浦河郡,浦河町,1607
北海道,日高振興局,様似郡,様似町,1608
北海道,日高振興局,幌泉郡,えりも町,1609
北海道,日高振興局,日高郡,新ひだか町,1610
北海道,十勝総合振興局,河東郡,音更町,1631
北海道,十勝総合振興局,河東郡,士幌町,1632
北海道,十勝総合振興局,河東郡,上士幌町,1633
北海道,十勝総合振興局,河東郡,鹿追町,1634
北海道,十勝総合振興局,上川郡,新得町,1635
北海道,十勝総合振興局,上川郡,清水町,1636
北海道,十勝総合振興局,河西郡,芽室町,1637
北海道,十勝総合振興局,河西郡,中札内村,1638
北海道,十勝総合振興局,河西郡,更別村,1639
北海道,十勝総合振興局,広尾郡,大樹町,1641
北海道,十勝総合振興局,広尾郡,広尾町,1642
北海道,十勝総合振興局,中川郡,幕別町,1643
北海道,十勝総合振興局,中川郡,池田町,1644
北海道,十勝総合振興局,中川郡,豊頃町,1645
北海道,十勝総合振興局,中川郡,本別町,1646
北海道,十勝総合振興局,足寄郡,足寄町,1647
北海道,十勝総合振興局,足寄郡,陸別町,1648
北海道,十勝総合振興局,十勝郡,浦幌町,1649
